Start date,End date,Duration [d],Mean catchment precipitation depth - IMERG [mm],Mean catchment precipitation depth - ERA5 [mm],Centre of mass coordinate - IMERG [°N/°E],Centre of mass coordinate - ERA5 [°N/°E],Maximum precipitation coordinate - IMERG [°N/°E],Maximum precipitation coordinate - ERA5 [°N/°E]
20001021_00,20001024_00,3,14.5,13.6,32.15/-2.05,32.5/-2.5,32.95/-2.95,32.5/-3.5
20010825_00,20010826_00,1,1.1,0.1,32.15/-3.05,32.5/-2.5,32.55/-3.85,32.5/-4
20011011_00,20011013_00,2,6.2,2.1,31.85/-2.85,32/-3,32.65/-3.55,32.5/-4
20011218_00,20011219_00,1,3.3,5.7,31.35/-1.65,31.5/-2,30.95/-2.65,31/-2
20020218_00,20020219_00,1,1.7,0.5,31.55/-1.85,32/-2.5,31.95/-0.55,32.5/-3.5
20020307_00,20020308_00,1,2,1.1,31.55/-2.85,32/-2.5,31.65/-3.65,32/-3.5
20020328_00,20020329_00,1,2.2,0.2,32.35/-1.95,32/-2,32.35/-2.05,32/-3.5
20020331_00,20020402_00,2,14.3,8.9,31.65/-2.25,32/-2.5,32.65/-3.55,32.5/-4
20020419_00,20020420_00,1,1.9,0.6,32.55/-1.85,32.5/-3,32.95/-0.45,32.5/-4
20020430_00,20020501_00,1,2.3,0,31.85/-1.95,,32.35/-0.75,
20020506_00,20020507_00,1,1.7,2.8,32.55/-2.45,32/-3.5,32.95/-0.65,32.5/-4
20020823_00,20020824_00,1,1.5,0.9,32.25/-1.15,31.5/-2,32.75/-0.65,32.5/-2.5
20020903_00,20020904_00,1,2.7,0.3,32.25/-2.55,32/-2,32.35/-3.35,32.5/-2
20021003_00,20021004_00,1,1.6,0.1,30.45/-1.85,30/-2,29.85/-1.55,30/-2
20021008_00,20021009_00,1,6.2,0.8,31.95/-1.55,32/-2.5,32.85/-0.85,32.5/-2
20021115_00,20021116_00,1,9.1,8.5,32.15/-1.95,32/-2,31.85/-0.55,32.5/-2
20021125_00,20021126_00,1,3.3,2.5,32.05/-1.65,32/-2,32.15/-1.95,32.5/-1
20030109_00,20030110_00,1,2.6,0.8,32.45/-1.05,32.5/-2,32.45/-0.75,32.5/-2
20030214_00,20030216_00,2,8.8,5.8,31.25/-2.15,31.5/-2,30.75/-2.95,32.5/-2.5
20030414_00,20030415_00,1,2.3,0.6,31.95/-1.55,32.5/-2,31.55/-1.75,32.5/-2
20030607_00,20030608_00,1,1.4,0.4,31.55/-1.25,31.5/-2,31.25/-0.35,30.5/-2.5
20030715_00,20030716_00,1,3.2,0.1,31.65/-2.05,31.5/-2.5,31.65/-1.75,30.5/-2.5
20030816_00,20030817_00,1,1.8,0.5,32.25/-2.65,32.5/-3,32.55/-4.05,32.5/-4
20030923_00,20030924_00,1,6,1.3,32.05/-2.15,32/-2.5,32.65/-0.35,32.5/-3.5
20031006_00,20031007_00,1,4.8,0.6,31.95/-2.25,32/-2.5,31.95/-2.45,32.5/-1.5
20031013_00,20031015_00,2,13.8,2.8,32.15/-1.85,32/-2,32.45/-0.35,32.5/-1
